Поступление товаров,,,,,,,,,,
"Группировки строк: Ссылка.Магазин; Ссылка; 
Дополнительные поля: Номенклатура; Характеристика номенклатуры; Номенклатура.Код; Количество; Ставка НДС; Сумма НДС; Цена; Сумма; Ссылка.Магазин; Ссылка.Дата; Ссылка.Номер; Ссылка.Контрагент; Ссылка.Сумма документа; Ссылка.Проведен; 
Отбор: Ссылка.Дата Больше или равно ""21.06.2013 0:00:00"" И Ссылка.Дата Меньше или равно ""30.10.2013 23:50:00""",,,,,,,,,,
,,,,,,,,,,
Ссылка,,,,,Шапка,,,,,
,,,,,Ссылка.Магазин,,,,,
"Номенклатура, Код",Характеристика номенклатуры,Количество,Цена,Сумма,Шапка,,,,,
,,,,,Ссылка.Магазин,Ссылка.Дата,Ссылка.Номер,Ссылка.Контрагент,Ссылка.Сумма документа,Ссылка.Проведен
,,,,,Магазин Галерея,,,,,
"Сарафан Sirius, ЦБ000000429",,2.000,"2,000.00","4,000.00",,,,,,
"Кофта SinSin, ЦБ000002680",,2.000,"2,250.00","4,500.00",,,,,,
"Платье Denny Rose, ЦБ000002995",,1.000,"5,500.00","5,500.00",,,,,,
"Футболка AMN, ЦБ000002022",,1.000,"1,300.00","1,300.00",,,,,,
"Платье AMN (Шарф), ЦБ000002923",,1.000,"1,900.00","1,900.00",,,,,,
"Туника Rinascimento, ЦБ000002483",,3.000,"2,500.00","7,500.00",,,,,,
"Туника Pitti, ЦБ000002922",,4.000,"1,800.00","7,200.00",,,,,,
"Сарафан Modem, ЦБ000000472",,2.000,"1,150.00","2,300.00",,,,,,
"Ремень Denny Rose, ЦБ000001013",,1.000,"2,700.00","2,700.00",,,,,,
"Ремень Denny Rose, 00000000090",,1.000,"1,500.00","1,500.00",,,,,,
"Ремень Denny Rose 033, ЦБ000004007",,2.000,500.00,"1,000.00",,,,,,
"Ремень 30 резинка, ЦБ000004008",,2.000,700.00,"1,400.00",,,,,,
"Ремень Denny Rose, ЦБ000001018",,1.000,"2,250.00","2,250.00",,,,,,
"Ремень Covery, ЦБ000001777",,1.000,"1,000.00","1,000.00",,,,,,
"Ремень Denny Rose, ЦБ000001010",,1.000,"2,500.00","2,500.00",,,,,,
"Бадлон Felicita, ЦБ000003777",,2.000,"1,600.00","3,200.00",,,,,,
"Боди AMN , ЦБ000002394",,2.000,"1,750.00","3,500.00",,,,,,
"Рубашка Felicita, ЦБ000001899",,1.000,"1,900.00","1,900.00",,,,,,
"Платье Amn, ЦБ000002915",,1.000,"1,500.00","1,500.00",,,,,,
"Брюки Monica Ricci, ЦБ000001542",,1.000,"2,200.00","2,200.00",,,,,,
"Юбка Bovona, ЦБ000002619",,3.000,"2,200.00","6,600.00",,,,,,
"Туника Rinascimento, ЦБ000002482",,1.000,"2,500.00","2,500.00",,,,,,
"Джинсы Denny Rose, ЦБ000002331",,1.000,"2,000.00","2,000.00",,,,,,
Поступление товаров ЦБ000000116 от 03.08.2013 12:20:48,,,,,Магазин Галерея,03.08.2013 12:20:48,ЦБ000000116,AMN,"212,800.00",Да
"Сарафан Calvin Klien 098, ЦБ000004009",,1.000,"3,000.00","3,000.00",,,,,,
